Timestamp,Latitude,Longitude,Distance,Speed,CumulativeDistance,UNIXTime
25/07/2013 08:28:39,13.033659935,80.2304534912,32.2373489857,3.2237348986,35798.8553985053,1374721119
25/07/2013 08:28:49,13.0331602097,80.2304992676,55.7878778845,5.5787877885,35854.6432763898,1374721129
25/07/2013 08:28:59,13.0325202942,80.2305679321,71.5430541033,7.1543054103,35926.1863304931,1374721139
25/07/2013 08:29:09,13.0318899155,80.2306289673,70.4060933309,7.0406093331,35996.592423824,1374721149
25/07/2013 08:29:16,13.0316200256,80.2306594849,30.1921114817,4.3131587831,36026.7845353057,1374721156
25/07/2013 08:29:30,13.0313396454,80.230682373,31.2752376554,2.2339455468,36058.0597729612,1374721170
25/07/2013 08:29:40,13.0311698914,80.2307128906,19.1630608605,1.916306086,36077.2228338216,1374721180
25/07/2013 08:29:50,13.0311603546,80.2306976318,1.9640367161,0.1964036716,36079.1868705378,1374721190
25/07/2013 08:30:00,13.0310201645,80.2306900024,15.6101461203,1.561014612,36094.7970166581,1374721200
25/07/2013 08:30:10,13.0308704376,80.2307128906,16.832486133,1.6832486133,36111.629502791,1374721210
25/07/2013 08:30:20,13.0308704376,80.2307128906,0,0,36111.629502791,1374721220
25/07/2013 08:30:30,13.0306196213,80.2307434082,28.0849677065,2.8084967707,36139.7144704975,1374721230
25/07/2013 08:30:40,13.0303401947,80.2307815552,31.3444668849,3.1344466885,36171.0589373824,1374721240
25/07/2013 08:30:50,13.0303297043,80.2307815552,1.1704409603,0.117044096,36172.2293783427,1374721250
25/07/2013 08:31:00,13.0303297043,80.2307815552,0,0,36172.2293783427,1374721260
25/07/2013 08:31:11,13.0299596786,80.2308197021,41.3520329945,3.7592757268,36213.5814113373,1374721271
25/07/2013 08:31:21,13.0298700333,80.2308273315,10.0025048158,1.0002504816,36223.5839161531,1374721281
25/07/2013 08:31:31,13.0298700333,80.2308273315,0,0,36223.5839161531,1374721291
25/07/2013 08:31:41,13.0298700333,80.2308273315,0,0,36223.5839161531,1374721301
25/07/2013 08:31:51,13.0298700333,80.2308273315,0,0,36223.5839161531,1374721311
25/07/2013 08:32:01,13.0298700333,80.2308273315,0,0,36223.5839161531,1374721321
25/07/2013 08:32:21,13.0285596848,80.2309875488,146.7341966928,7.3367098346,36370.3181128458,1374721341
25/07/2013 08:32:31,13.0277700424,80.2310791016,88.3626318602,8.836263186,36458.680744706,1374721351
25/07/2013 08:32:41,13.027680397,80.2313690186,32.9515755863,3.2951575586,36491.6323202923,1374721361
25/07/2013 08:32:49,13.0277500153,80.2318496704,52.6427141673,6.5803392709,36544.2750344596,1374721369
25/07/2013 08:33:02,13.0278396606,80.2323913574,59.5230691017,4.5786976232,36603.7981035613,1374721382
25/07/2013 08:33:12,13.0279102325,80.2327728271,42.0640511239,4.2064051124,36645.8621546852,1374721392
25/07/2013 08:33:22,13.0278997421,80.2327880859,2.0205835772,0.2020583577,36647.8827382624,1374721402
25/07/2013 08:33:31,13.027680397,80.2328796387,26.3294452905,2.9254939212,36674.2121835529,1374721411
25/07/2013 08:33:43,13.0270595551,80.2329483032,69.434057017,5.7861714181,36743.6462405699,1374721423
25/07/2013 08:33:53,13.0269098282,80.2329483032,16.6489014848,1.6648901485,36760.2951420547,1374721433
25/07/2013 08:34:03,13.0269098282,80.2329483032,0,0,36760.2951420547,1374721443
25/07/2013 08:34:23,13.0269098282,80.2329483032,0,0,36760.2951420547,1374721463
25/07/2013 08:34:34,13.0269098282,80.2329483032,0,0,36760.2951420547,1374721474
25/07/2013 08:34:44,13.0269098282,80.2329483032,0,0,36760.2951420547,1374721484
25/07/2013 08:34:54,13.0269098282,80.2329483032,0,0,36760.2951420547,1374721494
25/07/2013 08:35:04,13.0267400742,80.2329788208,19.1632960175,1.9163296017,36779.4584380721,1374721504
25/07/2013 08:35:14,13.0264101028,80.2328186035,40.5894753453,4.0589475345,36820.0479134174,1374721514
25/07/2013 08:35:24,13.0261898041,80.2321395874,77.5317462169,7.7531746217,36897.5796596343,1374721524
25/07/2013 08:35:34,13.025970459,80.2314071655,83.0099392647,8.3009939265,36980.589598899,1374721534
25/07/2013 08:35:44,13.025759697,80.2306900024,81.1506904807,8.1150690481,37061.7402893797,1374721544
25/07/2013 08:35:54,13.0253095627,80.2299118042,98.0440813842,9.8044081384,37159.7843707639,1374721554
25/07/2013 08:36:25,13.0240602493,80.2283630371,217.8293877103,21.782938771,37377.6137584742,1374721585
25/07/2013 08:36:35,13.0236101151,80.2278366089,75.8797353958,7.5879735396,37453.49349387,1374721595
25/07/2013 08:36:45,13.0232000351,80.2275009155,58.325206095,5.8325206095,37511.818699965,1374721605
25/07/2013 08:37:05,13.0229501724,80.2273635864,31.5160882586,1.5758044129,37543.3347882236,1374721625
25/07/2013 08:37:15,13.0227003098,80.2270278931,45.7658052082,4.5765805208,37589.1005934318,1374721635
25/07/2013 08:37:35,13.0216598511,80.22605896,156.2167467672,7.8108373384,37745.317340199,1374721655
25/07/2013 08:37:45,13.0209197998,80.2255020142,102.0401662112,10.2040166211,37847.3575064102,1374721665
25/07/2013 08:37:55,13.0203800201,80.2251281738,72.4070092377,7.2407009238,37919.7645156479,1374721675
25/07/2013 08:38:05,13.0199203491,80.224822998,60.8738129984,6.0873812998,37980.6383286463,1374721685
25/07/2013 08:38:15,13.0193195343,80.2245178223,74.5407149334,7.4540714933,38055.1790435797,1374721695
25/07/2013 08:38:25,13.0185003281,80.224647522,92.1689743434,9.2168974343,38147.3480179231,1374721705
